"dir_out","id","n_indivs","n_iterations","prob_survival_parent_1","prob_survival_parent_2","prob_survival_parent_3","prob_survival_parent_4","prob_survival_offspring_1","prob_survival_offspring_2","prob_survival_offspring_3","prob_survival_offspring_4","prob_gametes_1_0","prob_gametes_1_1","prob_gametes_2_0","prob_gametes_2_1","prob_gametes_2_2","prob_gametes_3_0","prob_gametes_3_1","prob_gametes_3_2","prob_gametes_3_3","prob_gametes_4_0","prob_gametes_4_1","prob_gametes_4_2","prob_gametes_4_3","prob_gametes_4_4","prob_apomixis_1","prob_apomixis_2","prob_apomixis_3","prob_apomixis_4","n_points_to_average","num_gametes_per_parent","num_offspring_per_apomixis","progress","set_seed","save_plot","save_time_series","counts_all_mean_1","counts_all_mean_2","counts_all_mean_3","counts_all_mean_4","counts_all_sd_1","counts_all_sd_2","counts_all_sd_3","counts_all_sd_4","counts_gametes_mean_0","counts_gametes_mean_1","counts_gametes_mean_2","counts_gametes_mean_3","counts_gametes_mean_4","counts_offspring_sexual_mean_1","counts_offspring_sexual_mean_2","counts_offspring_sexual_mean_3","counts_offspring_sexual_mean_4","counts_offspring_asexual_mean_1","counts_offspring_asexual_mean_2","counts_offspring_asexual_mean_3","counts_offspring_asexual_mean_4","counts_parent_survived_mean_1","counts_parent_survived_mean_2","counts_parent_survived_mean_3","counts_parent_survived_mean_4"
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",1,712,100,0.652739633340389,0.275957144331187,0.946902874624357,0.345210820669308,1,1,1,1,0.208609999491664,0.161292915829627,0.224426309684002,0.382811285464262,0.315042591173322,0,0,0,0,0.105056222184792,0.0380215988876799,0.0185127233688142,0.00952159224573202,0.106299963775225,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,323.35,93.55,291.2,3.9,25.5945615111369,14.5691635420771,25.7203585143221,3.5526120857165,143.356052870944,106.497788462336,54.4164013588009,1.13670808176853,12.1008916591865,123.643066504907,86.8018160130184,47.2757587820762,15.5228185178093,0,0,0,0,20.9796894262297,4.64418141900503,24.9029167600483,1.28144655103437
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",2,458,100,0.413719641510397,0.0138181063812226,0.603457579622045,0.450430053519085,1,1,1,1,0.00017951904863994,0.268643330679527,0.0931363004414259,0.137688182701866,0.204415768800177,0,0,0,0,0.04644730753378,0.0475450148254708,0.0636763413705912,0.0371544321093657,0.0668692241574473,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,68.05,91.7,213.2,85.05,13.42611359686,17.1221616933328,14.4426269661793,15.4186319278435,35.015184676005,115.907131609296,64.1104926135956,26.3987140835147,42.7322139054737,27.9199513647593,73.954466787982,45.9039042027215,43.9311662538232,0,0,0,0,6.50020242599778,1.10501250290617,9.34710763031172,8.17103356214403
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",3,829,100,0.0607011176180094,0.0337227953132242,0.656588719924912,0.570836931467056,1,1,1,1,0.225439707058583,0.18538416851395,0.21337626094164,0.16042988701655,0.198675766930878,0,0,0,0,0.09910102468069,0.244407244249288,0.233163029146442,0.327378254294029,0.0486733896204933,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,119.9,140.9,374.25,193.95,21.3859274930231,22.8632087815659,27.2394354219257,29.3965178747058,129.580131680423,95.2746031217134,102.336339175239,105.920973520729,19.2104001437818,105.169086912958,82.3084059146484,87.220591484737,88.9585947446753,0,0,0,0,2.30045762037858,2.31925577899917,18.6837249751587,18.2350154777473
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",4,519,100,0.577863812679425,0.934811405139044,0.779545905301347,0.910686482908204,1,1,1,1,0.00420867024976971,0.125090504977291,0.0250878752079465,0.0178052457282823,0.0428127526202063,0,0,0,0,0.0821420576625381,0.0425164995494413,0.0954507631917924,0.113153258286422,0.0498224155849294,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,16.75,230.4,91.7,180.15,8.70495926409042,14.6445606931289,8.69422070597535,16.9434819015269,45.3771041269423,100.836749253434,56.7576565667344,60.6412227345132,26.3995613998654,52.5405858160597,66.6213969105706,57.8565376372318,32.2755814493672,0,0,0,0,5.9016054907475,14.7807663073191,11.4306835454311,17.430387862943
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",5,484,100,0.563365854788572,0.527771492255852,0.0330937930848449,0.0150155297014862,1,1,1,1,0.0729270469093379,0.0583878957039061,0.0781987215372969,0.289109329703132,0.122839978282541,0,0,0,0,0.0533796136081417,0.0776799420509788,0.0659355013750544,0.106087494771243,0.103388886667672,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,231.9,213.3,30.55,8.25,26.720581462315,26.7111252201459,8.87026374733967,5.73883355102026,121.996753623762,73.6705861464255,72.1272815018153,13.0883636547085,14.8163316718588,90.192775997334,93.2015924869595,84.7310916649658,35.9460121498016,0,0,0,0,18.3521115951271,14.0603960414387,0.812727700887249,0.307793505625546
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",6,223,100,0.166924782795832,0.480008541606367,0.168133341008797,0.299367563333362,1,1,1,1,0.24331591080864,0.344790641330285,0.0107068519186579,0.00466971879173492,0.434440005960462,0,0,0,0,0.001187189170415,0.216239684861129,0.0857359762104312,0.275813749970504,0.294497554176053,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,3.25,41.2,62.9,115.65,3.24240002077733,9.51231888270761,13.5487424159083,16.1580190291808,13.9487784788716,34.9999624059949,85.4551128709656,53.9137713097693,58.4992127702317,5.72597957604314,13.8178945764655,28.1673102801999,44.3017167304288,0,0,0,0,1.27320565172283,5.92852160500851,3.71483512420134,7.76818748757426
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",7,618,100,0.355690248543397,0.180369320558384,0.231049364665523,0.294326541712508,1,1,1,1,0.166405824364027,0.133376686482826,0.0817245024345703,0.0768127310599224,0.17181918442781,0,0,0,0,0.164651187379788,0.0499330679840237,0.0037154674783378,0.219390231154002,0.0484116717238873,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,227.05,179.75,133.6,77.6,19.4055743483535,19.5121419687979,21.8039108032433,14.9010773188772,91.0201105597867,117.774662184324,103.63935444354,68.7599944888397,17.9900557326307,94.2909690378949,119.200969176562,43.5315674932692,39.6764546378779,0,0,0,0,9.99947367035938,4.33437909108827,9.12645085798186,6.31018391591177
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",8,795,100,0.267943775048479,0.524946860503405,0.607772340765223,0.524632612941787,1,1,1,1,0.34543080921966,0.250272986565424,0.0358850710042247,0.0271874641002468,0.149432497669589,0,0,0,0,0.173163677980523,0.294947845584735,0.0233836641492068,0.358118664923785,0.0952077844855731,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,84.4,210.9,297.05,202.65,10.9947355823738,25.5814488705349,26.8983955694485,22.9490855224296,80.8789055837247,68.8594869815948,189.060697577315,102.288755362866,25.3561992835137,52.7810771514106,100.190069368176,64.8352365210218,80.6618020861763,0,0,0,0,5.39468549397899,15.5431487699311,19.5417905767964,14.1951622596907
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",9,449,100,0.232715983642265,0.11127624521032,0.179821680765599,0.00380828301422298,1,1,1,1,0.39266949427607,0.365991866436652,0.0558459863529341,0.0983339314140096,0.653361167407363,0,0,0,0,0.0256432114343307,0.0821173387831431,0.0739080867000085,0.0960859928418407,0.0404969772489554,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,44.2,110.85,153,140.95,11.9587008623759,17.2146663296767,17.9736649456628,10.8311198818376,68.0975306763067,59.7392580081844,134.047870475242,37.3058482786476,13.0137579021911,43.2678317362668,62.5817150023198,63.8879776187236,73.5340952068817,0,0,0,0,3.71164596769057,3.44696662986,4.58228855715707,0.695852373938459
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",10,790,100,0.216994949849322,0.526938303373754,0.401516264304519,0.97137932642363,1,1,1,1,0.00357295735003936,0.099514713052562,0.00382356367280112,0.269070031410459,0.339556188282913,0,0,0,0,0.087834260721653,0.145716797074741,0.0783931717810957,0.129311419974267,0.201466644648455,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,8.75,18.8,21.95,740.5,2.98901497592698,7.52959074864665,6.79376649274132,9.59440626505608,36.2901683075385,42.1736697603212,54.0628046082079,39.9840428697565,50.1811455471181,27.0194374478818,32.0819673894689,38.3983278144683,30.9156322236741,0,0,0,0,1.43178210632764,5.22619918245916,3.09498745852403,7.99605165724079
