"dir_out","id","n_indivs","n_iterations","prob_survival_parent_1","prob_survival_parent_2","prob_survival_parent_3","prob_survival_parent_4","prob_survival_offspring_1","prob_survival_offspring_2","prob_survival_offspring_3","prob_survival_offspring_4","prob_gametes_1_0","prob_gametes_1_1","prob_gametes_2_0","prob_gametes_2_1","prob_gametes_2_2","prob_gametes_3_0","prob_gametes_3_1","prob_gametes_3_2","prob_gametes_3_3","prob_gametes_4_0","prob_gametes_4_1","prob_gametes_4_2","prob_gametes_4_3","prob_gametes_4_4","prob_apomixis_1","prob_apomixis_2","prob_apomixis_3","prob_apomixis_4","n_points_to_average","num_gametes_per_parent","num_offspring_per_apomixis","progress","set_seed","save_plot","save_time_series","counts_all_mean_1","counts_all_mean_2","counts_all_mean_3","counts_all_mean_4","counts_all_sd_1","counts_all_sd_2","counts_all_sd_3","counts_all_sd_4","counts_gametes_mean_0","counts_gametes_mean_1","counts_gametes_mean_2","counts_gametes_mean_3","counts_gametes_mean_4","counts_offspring_sexual_mean_1","counts_offspring_sexual_mean_2","counts_offspring_sexual_mean_3","counts_offspring_sexual_mean_4","counts_offspring_asexual_mean_1","counts_offspring_asexual_mean_2","counts_offspring_asexual_mean_3","counts_offspring_asexual_mean_4","counts_parent_survived_mean_1","counts_parent_survived_mean_2","counts_parent_survived_mean_3","counts_parent_survived_mean_4"
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",1,46,100,0.264211705652997,0.181464828085154,0.0785122967790812,0.200004505459219,1,1,1,1,0.14043787634523,0.40825022919512,0.179738929808132,0.0637075642983089,0.0705431062930678,0.242718340758606,0.0928414146251064,0.0855832010235235,0.109547799287869,0.0180553254431636,0.0382361858526633,0.0921311618101678,0.00735378585262318,0.136623566105508,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,16.2,14.9,7.7,7.2,8.85913147697424,4.3395367203618,5.72253164439067,5.49257872521019,18.5347468853843,52.8995821294808,22.5514616167696,13.1400352478899,26.8277154411156,42.3572214684381,27.9143426631506,16.2864974749023,24.3988783176173,0,0,0,0,3.43970622980632,1.98613615900453,1.11803398874989,1.53811230854064
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",2,521,100,0.918312132358551,0.550651938188821,0.44700340507552,0.127644241089001,1,1,1,1,0.165403940801634,0.124614039116414,0.0236710053954975,0.0119116520535546,0.00158400506515768,0.0656935116121965,0.205930158341597,0.251589446008168,0.205060610106475,0.0288373539582993,0.0148104329431482,0.0939628601036005,0.146893159259486,0.135396548431904,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,489.7,30.9,0.4,0,12.1226191368385,12.2125905696151,0.940324691963255,0,38.3837959231976,38.7405676126121,7.16791094869496,2.17400915119364,0,40.801541508547,38.0795220558242,7.76954242370065,1.46808145478878,0,0,0,0,13.4434488056255,7.17524985811057,0.307793505625546,0
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",3,654,100,0.517820660257712,0.821948432829231,0.519012088654563,0.865352703724056,1,1,1,1,0.0204775360228099,0.249085258105623,0.121634267474312,0.347939298076512,0.382765816499736,0.161883420279715,0.0537939136445186,0.141995206892239,0.0444460468171222,0.386719227620717,0.022764419021227,0.144027547986065,0.0437480524956386,0.249038016044151,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,75.4,253.25,76.4,248.95,17.8366860268676,14.227012853612,13.4688724960848,16.1195370182959,78.2008884052376,134.369198773184,58.8158589426176,25.3356416307562,46.3777112982428,58.2346433337625,55.8691139605493,55.6649752868373,52.9621513317219,0,0,0,0,8.16539553301163,12.5114684232213,6.67181818507795,14.3361890260094
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",4,434,100,0.762262604665011,0.0944013393018395,0.596540046855807,0.382607102626935,1,1,1,1,0.19647179090895,0.0726679208361336,0.0895968542982591,0.160820944854203,0.0570080299637932,0.0264560347991326,0.280396266357962,0.266237982200006,0.14727100085604,0.0773697899907292,0.0559560113658389,0.0516568035050501,0.0347722337295644,0.00912639780741002,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,402.55,24.2,6.2,1.05,6.98475784156209,7.05318143968044,4.25007739867603,1.8771478925557,42.5557219852303,33.7911542457957,15.9294497212255,10.2217518325537,1.14707866935281,42.4486066971145,33.2126719633842,20.9573501740031,7.36206492772238,0,0,0,0,8.17747226418891,1.27320565172283,2.62778674132715,0.944513241388333
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",5,599,100,0.526594997383654,0.963649072218686,0.832939892308787,0.477874642238021,1,1,1,1,0.156664341245345,0.390104337339723,0.225933642345566,0.182250529726072,0.0530052944569562,0.45086395636064,0.17202845417143,0.0822565249170992,0.118907733689202,0.105069435635556,0.154823401251562,0.0793459692962223,0.236208457805766,0.208616428681209,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,46.3,503.75,47.4,1.55,6.26687196378914,11.2618358791283,7.32263973110646,1.90497962414852,30.6678298787783,43.6194970892122,26.7815726121329,17.5093208260479,5.57154424402767,56.9454956399908,33.3977622950369,28.649239909087,18.9705450355905,0,0,0,0,4.74508055502583,12.0595016044349,5.50597761289348,0.944513241388333
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",6,262,100,0.169853387167677,0.577332712942734,0.848637733608484,0.91578952758573,1,1,1,1,0.334645105891621,0.592974928307587,0.169111042202689,0.0804958867926731,0.0969180213543409,0.170183224333654,0.15777154445468,0.126377568680654,0.0707637034485732,0.0604637690296605,0.111746893933341,0.108120860764501,0.0705543099665313,0.00195709258653956,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,13.9,47.65,112.3,88.15,7.39772368972197,8.93411557193165,11.5580912647466,16.626785618393,36.9976884057426,34.6659244185046,31.1035621584951,25.3033698608661,2.89282233340238,34.8622854581914,23.0368126450276,26.7354977904894,31.7265868915878,0,0,0,0,2.18306882018965,6.48804568742432,10.4674935420392,14.86111138438
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",7,859,100,0.0616657314822078,0.446709395153448,0.0299889547750354,0.0161369554698467,1,1,1,1,0.514160660773437,0.327916365835895,0.66517243752662,0.151466367289535,0.154528931404949,0.292478103006326,0.210296450441083,0.183657762593884,0.107742180508821,0.158095859987062,0.292101609667581,0.0111596162825855,0.13643165740405,0.292425170874287,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,405.4,348.9,74.8,29.9,28.2067554431838,26.4732238110013,11.8170260752508,13.4669185316034,87.0437730171012,71.177668733359,47.4588741632385,37.4945259162482,41.1389174178878,79.7297408684323,45.8791031436226,50.4088546941799,68.0506583749427,0,0,0,0,4.76693656455866,16.6894230608869,1.70448325245358,0.489360484929593
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",8,153,100,0.466398247284815,0.583462765906006,0.59183967881836,0.294848998542875,1,1,1,1,0.557323080521765,0.420205720200447,0.335240415598109,0.0688167047171033,0.15955995082162,0.0043160268196273,0.01296093992068,0.0172634147834855,0.00504143395553054,0.0259820136071593,0.0928278055213751,0.028621456215771,0.152947653305241,0.237980646324037,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,39.15,47.65,45.1,21.1,14.3280181903555,9.28085182115929,10.3053384223906,9.73274451475398,64.2777484621889,36.8637248596275,54.8102948455181,26.2966878042404,39.3987710201059,54.2261104324437,33.1574791118479,23.6342191702936,34.4461440818165,0,0,0,0,8.51562032230678,7.35043858340583,7.73644825349122,3.54631016543586
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",9,909,100,0.849199729738757,0.356257964391261,0.847089058719575,0.693991182139143,1,1,1,1,0.0234704056026913,0.10897331580347,0.181013862916416,0.261470775418006,0.218925615859049,0.0585090888810951,0.0734045169786363,0.227923194589982,0.145872857927159,0.0796956745351364,0.391903332670369,0.0918253336047849,0.189259169974975,0.210287470821948,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,149.25,79.1,461.5,219.15,27.006578146035,10.1041940223902,27.1419271704556,19.1098624303071,42.2567029874365,166.727669537704,125.462051297552,77.7652337419966,45.4283414899368,67.5051654943609,94.9988781097191,53.7229736215043,55.0454357780915,0,0,0,0,21.4355828128445,6.12909369105125,23.0420096893981,14.2695848794413
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=0,parent_survival=1",10,227,100,0.328650783048943,0.403522064676508,0.624964675400406,0.474997946061194,1,1,1,1,0.0453255732939311,0.137729167712413,0.0323245856305908,0.03034426854416,0.0109070769608142,0.0218290485462612,0.19389560505957,0.0923743526606113,0.140766244417879,0.0653316307845853,0.0307045693981119,0.101645907306814,0.0597118868566044,0.0092996999380707,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,37.3,65.55,80.3,43.85,9.79312325858787,11.1519410630475,8.2148773896094,7.63837265666616,35.1861216660026,38.2630782595276,33.0810806162199,27.5631332723527,6.10090588614338,39.8066379018956,27.5189408455914,24.541264926864,21.4841434796138,0,0,0,0,5.27431711718508,5.36533709148485,5.92297044964504,4.48975441832202
