"dir_out","id","n_indivs","n_iterations","prob_survival_parent_1","prob_survival_parent_2","prob_survival_parent_3","prob_survival_parent_4","prob_survival_offspring_1","prob_survival_offspring_2","prob_survival_offspring_3","prob_survival_offspring_4","prob_gametes_1_0","prob_gametes_1_1","prob_gametes_2_0","prob_gametes_2_1","prob_gametes_2_2","prob_gametes_3_0","prob_gametes_3_1","prob_gametes_3_2","prob_gametes_3_3","prob_gametes_4_0","prob_gametes_4_1","prob_gametes_4_2","prob_gametes_4_3","prob_gametes_4_4","prob_apomixis_1","prob_apomixis_2","prob_apomixis_3","prob_apomixis_4","n_points_to_average","num_gametes_per_parent","num_offspring_per_apomixis","progress","set_seed","save_plot","save_time_series","counts_all_mean_1","counts_all_mean_2","counts_all_mean_3","counts_all_mean_4","counts_all_sd_1","counts_all_sd_2","counts_all_sd_3","counts_all_sd_4","counts_gametes_mean_0","counts_gametes_mean_1","counts_gametes_mean_2","counts_gametes_mean_3","counts_gametes_mean_4","counts_offspring_sexual_mean_1","counts_offspring_sexual_mean_2","counts_offspring_sexual_mean_3","counts_offspring_sexual_mean_4","counts_offspring_asexual_mean_1","counts_offspring_asexual_mean_2","counts_offspring_asexual_mean_3","counts_offspring_asexual_mean_4","counts_parent_survived_mean_1","counts_parent_survived_mean_2","counts_parent_survived_mean_3","counts_parent_survived_mean_4"
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=0,offspring_survival_variation=1,parent_survival=0",1,980,100,0,0,0,0,0,0.0329737900756299,0.678105056053028,0,0,0,0.296218854234806,0.270113520374738,0.161814892987252,0.137652840559437,0.196862819465567,0.559005389214494,0.0155095346804592,0,0,0,0,0,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,0,42.35,937.65,0,0,13.2715564470154,13.2715564470154,0,46.5256013281652,38.8385321420283,65.4950982496923,12.2365930931087,0,31.1023776380013,53.9496841608237,59.1962614395627,83.3764292073511,0,0,0,0,0,0,0,0
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=0,offspring_survival_variation=1,parent_survival=0",2,52,100,0,0,0,0,0,0.164916047360748,0.888311918824911,0,0,0,0.00591123145892889,0.135249332776536,0.00996625891974442,0.321195017507561,0.0015469952850781,0.317731160828306,0.302882508452216,0,0,0,0,0,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,0,6.7,45.3,0,0,4.16880646809384,4.16880646809384,0,18.1502501070197,36.5243610124588,14.3343532888835,14.1877448970285,0,19.0082392107932,11.018047396025,11.4591953423762,12.71250938001,0,0,0,0,0,0,0,0
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=0,offspring_survival_variation=1,parent_survival=0",3,399,100,0,0,0,0,0,0.527154640760273,0.764709127834067,0,0,0,0.273198338092955,0.00482600643548862,0.400169100090512,0.0431197516486751,0.00396248872534342,0.0760501211190661,0.0494792978996299,0,0,0,0,0,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,0,368.55,30.45,0,0,13.4886892188272,13.4886892188272,0,33.9713114259665,6.73170034045517,34.0338453833672,39.8022744655576,0,7.86798977871062,44.7538295920907,32.0517262857203,39.3800644195031,0,0,0,0,0,0,0,0
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=0,offspring_survival_variation=1,parent_survival=0",4,94,100,0,0,0,0,0,0.718172546243295,0.758635297417641,0,0,0,0.130195153192045,0.272818053317371,0.255540965866755,0.0585667087492703,0.109795854457399,0.0138182662158548,0.0958641317375244,0,0,0,0,0,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,0,50.6,43.4,0,0,11.9798075724815,11.9798075724815,0,10.3327532378202,18.5472369909914,43.0787528529833,44.4433110235595,0,8.88093759867611,24.3208271154364,21.8026434901343,15.9274671723509,0,0,0,0,0,0,0,0
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=0,offspring_survival_variation=1,parent_survival=0",5,393,100,0,0,0,0,0,0.400453241774812,0.839268125128001,0,0,0,0.0228632541512795,0.0270805518571063,0.0120888467776157,0.000496719912563943,0.0888470597287495,0.0193501357855814,0.121368854531855,0,0,0,0,0,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,0,131,262,0,0,20.1494416796099,20.1494416796099,0,71.1528377212706,26.6416274988874,31.5902633234056,108.886904147087,0,64.6134049966658,40.7908658506056,52.1070507402031,78.8672936013402,0,0,0,0,0,0,0,0
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=0,offspring_survival_variation=1,parent_survival=0",6,595,100,0,0,0,0,0,0.232908369041979,0.153617951786146,0,0,0,0.148084384143127,0.237329552923434,0.167705482308874,0.0716603675474124,0.155287375551183,0.246357358573545,0.17574416782898,0,0,0,0,0,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,0,339,256,0,0,22.9048374573444,22.9048374573444,0,44.1443505356068,47.6664949082907,31.3429249970136,61.4821112194433,0,54.8451168483144,54.2867629499029,36.9942740946416,45.4885468523324,0,0,0,0,0,0,0,0
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=0,offspring_survival_variation=1,parent_survival=0",7,790,100,0,0,0,0,0,0.859574453206733,0.285939635708928,0,0,0,0.339469646791361,0.0363607512124412,0.14267564465548,0.206014398610215,0.213193957629369,0.204922240370028,0.0509381743913389,0,0,0,0,0,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,0,750.2,39.8,0,0,11.7231215530407,11.7231215530407,0,59.0959077753229,41.0856294507997,40.8412845820965,13.4017869978911,0,54.2103845169326,65.6133811769648,35.9096453836424,27.5869438989572,0,0,0,0,0,0,0,0
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=0,offspring_survival_variation=1,parent_survival=0",8,822,100,0,0,0,0,0,0.205763383768499,0.926369491266087,0,0,0,0.0111174173680954,0.0053106399074251,0.0116374341921938,0.0512063526892778,0.0765977181088823,0.0465351756051491,0.00290165126521635,0,0,0,0,0,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,0,208.05,613.95,0,0,16.962730043431,16.962730043431,0,37.5739271303919,42.6287214766857,49.9915782381077,8.98697888468,0,49.5923115857796,41.5999430667627,37.2429788508413,37.3282382174816,0,0,0,0,0,0,0,0
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=0,offspring_survival_variation=1,parent_survival=0",9,99,100,0,0,0,0,0,0.888151162769645,0.992329414002597,0,0,0,0.163515305965603,0.180551658798788,0.158924441016967,0.242462045413916,0.205049132037757,0.0335763902648192,0.12245007305068,0,0,0,0,0,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,0,54.75,44.25,0,0,11.0638101365146,11.0638101365146,0,15.4711105987222,18.1324803075934,28.7930455784762,23.8470454972386,0,12.2254049550839,26.6582168630197,14.9359157384932,11.1916322124589,0,0,0,0,0,0,0,0
"output,triploid_fertility=1,apomixis=0,haploid_tetraploid=0,offspring_survival_variation=1,parent_survival=0",10,219,100,0,0,0,0,0,0.875613752519712,0.902240476571023,0,0,0,0.243518809257153,0.242305894073492,0.136363678985736,0.036888184566358,0.0152552074994939,0.0309000487064805,0.0467610272428765,0,0,0,0,0,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,0,100.35,118.65,0,0,23.3942750531654,23.3942750531654,0,30.4468475595716,64.5727659719108,24.024713153444,77.4068370433299,0,54.2336805432119,43.2944629983534,33.2446671623712,22.8032199942303,0,0,0,0,0,0,0,0
