"dir_out","id","n_indivs","n_iterations","prob_survival_parent_1","prob_survival_parent_2","prob_survival_parent_3","prob_survival_parent_4","prob_survival_offspring_1","prob_survival_offspring_2","prob_survival_offspring_3","prob_survival_offspring_4","prob_gametes_1_0","prob_gametes_1_1","prob_gametes_2_0","prob_gametes_2_1","prob_gametes_2_2","prob_gametes_3_0","prob_gametes_3_1","prob_gametes_3_2","prob_gametes_3_3","prob_gametes_4_0","prob_gametes_4_1","prob_gametes_4_2","prob_gametes_4_3","prob_gametes_4_4","prob_apomixis_1","prob_apomixis_2","prob_apomixis_3","prob_apomixis_4","n_points_to_average","num_gametes_per_parent","num_offspring_per_apomixis","progress","set_seed","save_plot","save_time_series","counts_all_mean_1","counts_all_mean_2","counts_all_mean_3","counts_all_mean_4","counts_all_sd_1","counts_all_sd_2","counts_all_sd_3","counts_all_sd_4","counts_gametes_mean_0","counts_gametes_mean_1","counts_gametes_mean_2","counts_gametes_mean_3","counts_gametes_mean_4","counts_offspring_sexual_mean_1","counts_offspring_sexual_mean_2","counts_offspring_sexual_mean_3","counts_offspring_sexual_mean_4","counts_offspring_asexual_mean_1","counts_offspring_asexual_mean_2","counts_offspring_asexual_mean_3","counts_offspring_asexual_mean_4","counts_parent_survived_mean_1","counts_parent_survived_mean_2","counts_parent_survived_mean_3","counts_parent_survived_mean_4"
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=1,parent_survival=0",1,627,100,0,0,0,0,0.740184369497001,0.179713836172596,0.826757336268201,0.404054887825623,0.149925057640653,0.728825868242998,0.176959046890619,0.156541042681508,0.198867946414892,0,0,0,0,0.05122274908989,0.114660432069416,0.0319997942830899,0.0194283160601715,0.364381854176742,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,305.75,129,182.65,9.6,20.1830439517406,17.5108988617766,21.6874326936617,7.27215308738174,57.9424396775755,162.93392267387,64.4788010858893,2.70428509864194,45.6649986889648,72.0923932041012,128.54500543021,73.2360818463858,28.4874857104881,0,0,0,0,0,0,0,0
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=1,parent_survival=0",2,141,100,0,0,0,0,0.0338675193488598,0.593765595927835,0.266515686409548,0.752982365665957,0.58747544999809,0.151359104564255,0.0250231375860176,0.0152607320089132,0.0183776320268967,0,0,0,0,0.160385720567333,0.0302356919967492,0.0620923799205899,0.0398243191240434,0.201244895068688,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,1.65,45.55,10.4,83.4,1.87153188029148,12.3564387647642,5.31532045872564,12.7790947706751,29.8476835035203,24.006303996637,27.7638064279454,13.7514592527101,45.1296086726593,25.7312016206415,32.0305774961496,14.1328285245829,26.044294253404,0,0,0,0,0,0,0,0
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=1,parent_survival=0",3,154,100,0,0,0,0,0.516458232654259,0.813414696604013,0.147179008927196,0.983672059606761,0.351135617017659,0.301139393925754,0.267630012348981,0.118398357090483,0.174243844330613,0,0,0,0,0.0697326815822627,0.0888436705155547,0.252588035213865,0.127346071084461,0.222048305588447,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,25.95,65.1,7.65,55.3,8.5991125613115,10.9923418318104,4.85879560558397,11.1265448365609,61.9832532561056,33.5707814687274,34.3386769815336,21.3770043689352,35.4543442516681,44.8089511734336,34.0864226712971,20.2705386421305,27.4151322025667,0,0,0,0,0,0,0,0
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=1,parent_survival=0",4,711,100,0,0,0,0,0.736265044426546,0.902193899033591,0.573724541114643,0.924254022771493,0.246928965480979,0.285525306552668,0.406372596518514,0.121017346244787,0.357291306274084,0,0,0,0,0.265083332053283,0.0807138853212408,0.22587460091948,0.178745485098059,0.0518147234289395,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,196.45,309.25,107.35,97.95,16.3850862869739,19.0894707820003,19.8236302374079,21.057502725932,112.053840442417,97.5744115507426,79.7174450959862,49.3163792583954,16.1818611902014,94.0621295236628,86.9799734966256,46.815539480413,50.1025002002474,0,0,0,0,0,0,0,0
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=1,parent_survival=0",5,236,100,0,0,0,0,0.090868279337883,0.156902828486636,0.670034414855763,0.702683756826445,0.341748934328668,0.0487612172997368,0.290866374685131,0.0198377751440499,0.304889334075196,0,0,0,0,0.0518585878443537,0.0804453588642927,0.0837305941872675,0.0537020381821113,0.0422446656331802,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,5.55,24,101.55,104.9,4.35859707027991,10.0786381703294,13.7667601203234,16.7831369001902,55.3907411985642,46.2969818272832,53.076384876694,36.3810245508345,23.5852317753025,24.5348302365605,34.3310508524219,35.5472628304465,34.5794280187695,0,0,0,0,0,0,0,0
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=1,parent_survival=0",6,309,100,0,0,0,0,0.0914671600330621,0.128666930133477,0.00274894526228309,0.356146136764437,0.157872953518074,0.0425273209616875,0.158634112193354,0.255021063417297,0.12272228787912,0,0,0,0,0.0407248315946354,0.0130079281275941,0.0512742583371472,0.0223784062716356,0.0507253072017849,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,22.7,59.05,0.7,226.55,8.4174005238522,12.2408935002397,1.1742858972248,16.1944597413989,55.8424475409918,61.7299722475574,35.9998538008727,26.1378431035398,52.0275989512449,52.8089904626495,25.7761619779941,23.9354394811939,31.5482504310961,0,0,0,0,0,0,0,0
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=1,parent_survival=0",7,888,100,0,0,0,0,0.688776139402762,0.217442878521979,0.986683366354555,0.394092300441116,0.400708603353617,0.127449873688253,0.574122117067021,0.105554378764377,0.0581838881001496,0,0,0,0,0.162905281306838,0.171190887020884,0.0857708567273012,0.22293179255637,0.215461211849842,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,839.75,42.3,5.95,0,14.227012853612,13.8491877018113,7.32317877485051,0,58.88936996383,52.8794806487754,13.0806204584854,0,0,67.1824695179205,33.9876138429405,6.26603206939901,0.523148363780597,0,0,0,0,0,0,0,0
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=1,parent_survival=0",8,198,100,0,0,0,0,0.253353964304551,0.279500971548259,0.832609898876399,0.518500399775803,0.163392386774981,0.649061524399108,0.282954490404811,0.320567893129794,0.326941881634971,0,0,0,0,0.1353257529581,0.10519870997547,0.132593739541882,0.153351015751241,0.0626703510912289,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,26.35,36.3,92.9,42.45,8.24796625650354,11.0981269164049,14.2160028433489,10.1435745801546,41.8567418954852,72.5338396525156,39.6158859682909,26.733135362613,13.0274002738358,40.0638963341521,47.687883267412,38.9883923346694,23.1132224631612,0,0,0,0,0,0,0,0
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=1,parent_survival=0",9,837,100,0,0,0,0,0.601752054644749,0.27350396849215,0.660399422748014,0.649686178192496,0.252229080691082,0.684142309783878,0.386231417624094,0.47953877946013,0.112429329816202,0,0,0,0,0.133746015857651,0.189434952632968,0.155875917573042,0.0948251908410896,0.0133175381770218,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,496.55,255.7,75.7,9.05,34.4283772184333,35.2406762585211,17.4358976343574,6.47647564977321,68.0738569496396,144.012609097077,30.8921724032072,9.50678428115528,2.18788530441227,73.6427185809975,119.91552948024,40.5440306463557,14.3933464160574,0,0,0,0,0,0,0,0
"output,triploid_fertility=0,apomixis=0,haploid_tetraploid=1,offspring_survival_variation=1,parent_survival=0",10,834,100,0,0,0,0,0.748359694844112,0.203398748068139,0.153870090609416,0.539625957841054,0.421228644164046,0.380935324630002,0.156844283888292,0.0299373228404206,0.404127686658373,0,0,0,0,0.080857815541984,0.0498078867864978,0.0121711435722572,0.17402311483687,0.174391073924518,0,0,0,0,20,10,10,FALSE,TRUE,TRUE,TRUE,580.05,110.4,42.4,101.15,36.0430663454006,21.5928838180301,12.9671650109441,29.0938137754403,155.867647971638,144.697242908299,140.986374854937,103.109280301099,109.407627464306,199.462936802542,135.94445460129,102.016304166488,143.609952374662,0,0,0,0,0,0,0,0
