"counts_all_1","counts_all_2","counts_all_3","counts_all_4","counts_gametes_0","counts_gametes_1","counts_gametes_2","counts_gametes_3","counts_gametes_4","counts_offspring_sexual_1","counts_offspring_sexual_2","counts_offspring_sexual_3","counts_offspring_sexual_4","counts_offspring_asexual_1","counts_offspring_asexual_2","counts_offspring_asexual_3","counts_offspring_asexual_4","counts_offspring_survived_1","counts_offspring_survived_2","counts_offspring_survived_3","counts_offspring_survived_4","counts_parent_survived_1","counts_parent_survived_2","counts_parent_survived_3","counts_parent_survived_4"
3,346,409,3,3192,1655,1536,1224,3,1386,1700,1706,835,12,228,1077,160,1.82128777923785,46.5440210249672,94.0998685939553,11.5348226018397,2,286,318,1
0,336,420,5,3168,1658,1595,1188,1,1364,1737,1703,807,14,227,982,26,1.11169513797635,53.7319316688568,80.5978975032852,5.55847568988173,1,287,332,0
0,299,458,4,3198,1614,1558,1238,2,1345,1657,1765,815,0,207,1022,47,1.96320630749014,58.8961892247043,97.7240473061761,7.41655716162944,0,269,326,0
0,293,455,13,3141,1633,1523,1312,1,1369,1614,1669,881,0,189,1139,37,1.79763469119579,51.5321944809461,89.0827858081472,9.58738501971091,0,251,358,0
0,340,408,13,3217,1557,1485,1344,7,1271,1562,1775,833,0,182,1143,123,1.75558475689882,55.3009198423128,98.3127463863338,11.6307490144547,0,242,350,2
0,371,381,9,3150,1641,1609,1201,9,1319,1685,1683,881,0,224,1004,118,1.63994743758213,58.4231274638633,83.6373193166886,12.299605781866,0,284,319,2
2,358,391,10,3100,1738,1663,1102,7,1438,1752,1650,846,0,258,922,77,1.0407358738502,49.4349540078844,71.9842312746386,9.54007884362681,0,326,303,0
6,383,361,11,3182,1649,1643,1131,5,1440,1771,1606,798,9,203,977,94,2.34954007884363,55.8015768725361,82.6254927726675,8.22339027595269,0,305,305,2
4,360,382,15,3216,1685,1677,1028,4,1385,1785,1638,850,21,242,831,97,1.1826544021025,52.2339027595269,83.5742444152431,13.0091984231275,2,321,287,1
9,383,362,7,3154,1705,1620,1126,5,1404,1706,1677,851,16,240,987,141,2.02365308804205,50.5913272010513,93.8975032851511,7.48751642575558,4,302,298,3
7,357,386,11,3109,1702,1711,1084,4,1339,1784,1678,860,43,256,914,62,2.45992115637319,53.7082785808147,88.9671484888305,10.8646517739816,3,319,282,1
4,364,389,4,3216,1665,1653,1071,5,1424,1744,1601,837,30,207,952,99,2.58607095926413,51.7214191852825,94.3915900131406,15.3009198423127,3,291,303,0
1,368,382,10,3117,1689,1649,1152,3,1372,1769,1675,863,26,224,961,37,2.49408672798949,53.1432325886991,80.7700394218134,9.59264126149803,1,315,299,0
0,380,375,6,3158,1640,1662,1147,3,1360,1733,1646,877,6,232,951,95,0.746386333771353,52.6202365308804,78.5571616294349,10.0762155059133,0,317,301,1
